identifier,genus,species,Subspecies,mutant,Mutant Details,primary,heterologous_expression,kcat_val,kcat_T,kcat_pH,Kc_val,Kc_T,Kc_pH,Ko_val,Ko_T,Ko_pH,S_val,S_T,S_pH,temp,pH,pKa,form,taxonomy,note,short_ref,pmid_or_doi,reference,year
,Methanococcoides,burtonii,,1,L2,1,E. coli,1.9,,,,,,,,,1.08,,,25,7,6.25,2_3,Archaea,L2 prior to induction to L10 formation by RuBP; Sc/o uses Kane method so no pKa correction necessary,Alonso 2009,19837658,"Alonso, Hernán, Michelle J. Blayney, Jennifer L. Beck, and Spencer M. Whitney. 2009. Substrate-Induced Assembly of Methanococcoides Burtonii D-Ribulose-1,5-Bisphosphate Carboxylase/oxygenase Dimers into Decamers. The Journal of Biological Chemistry 284 (49):33876-82.",2009
,Methanococcoides,burtonii,,0,,1,E. coli,2,,,130,,,3,,,1.18,,,25,7,6.25,2_3,Archaea,L10 induced by addition of RuBP; Sc/o uses Kane method so no pKa correction necessary,Alonso 2009,19837658,"Alonso, Hernán, Michelle J. Blayney, Jennifer L. Beck, and Spencer M. Whitney. 2009. Substrate-Induced Assembly of Methanococcoides Burtonii D-Ribulose-1,5-Bisphosphate Carboxylase/oxygenase Dimers into Decamers. The Journal of Biological Chemistry 284 (49):33876-82.",2009
,Methanococcoides,burtonii,,0,,1,Tobacco,1.9,,,,,,,,,1.14,,,25,7,6.25,2_3,Archaea,Purification from tobacco. Sc/o uses Kane method so no pKa correction necessary,Alonso 2009,19837658,"Alonso, Hernán, Michelle J. Blayney, Jennifer L. Beck, and Spencer M. Whitney. 2009. Substrate-Induced Assembly of Methanococcoides Burtonii D-Ribulose-1,5-Bisphosphate Carboxylase/oxygenase Dimers into Decamers. The Journal of Biological Chemistry 284 (49):33876-82.",2009
,Rhodospirillum,rubrum,,0,,1,E. coli,,,,,,,,,,8.1,,,25,7,,2,Alphaproteobacteria,"Only measured S here, assumed purified from E. coli like M burtonii; Sc/o uses Kane method so no pKa correction necessary",Alonso 2009,19837658,"Alonso, Hernán, Michelle J. Blayney, Jennifer L. Beck, and Spencer M. Whitney. 2009. Substrate-Induced Assembly of Methanococcoides Burtonii D-Ribulose-1,5-Bisphosphate Carboxylase/oxygenase Dimers into Decamers. The Journal of Biological Chemistry 284 (49):33876-82.",2009
,Rhodospirillum,rubrum,,0,,1,E. coli,,,,,,,,,,14.5,,,25,8.52,6.12,2,Alphaproteobacteria,Figure 3,Andrews & Lorimer 1985,3921534,"Andrews TJ, Lorimer GH (1985) Catalytic properties of a hybrid between cyanobacterial large subunits and higher plant small subunits of ribulose bisphosphate carboxylase-oxygenase. J Biol Chem. Apr 25; 260(8):4632-6.",1985
,Spinacia,oleracea,,0,,1,FALSE,,,,,,,,,,105,,,25,8.52,6.12,1B,C3 plants,Figure 3,Andrews & Lorimer 1985,3921534,"Andrews TJ, Lorimer GH (1985) Catalytic properties of a hybrid between cyanobacterial large subunits and higher plant small subunits of ribulose bisphosphate carboxylase-oxygenase. J Biol Chem. Apr 25; 260(8):4632-6.",1985
,Synechococcus,sp,ACMM323,0,,1,FALSE,11.6,,,185,,,,,,67,8.5,,25,7.8,6.12,1Bc,Cyanobacteria,vC calculated total activity in ref assuming all sites activated - this is probably not true. Specificity from Fig. 3,Andrews & Lorimer 1985,3921534,"Andrews TJ, Lorimer GH (1985) Catalytic properties of a hybrid between cyanobacterial large subunits and higher plant small subunits of ribulose bisphosphate carboxylase-oxygenase. J Biol Chem. Apr 25; 260(8):4632-6.",1985
,Atriplex,glabriuscula,,0,,1,FALSE,32.6,,,48,,,499,,8.5,59.98303835,,,35,8.3,6.33,1B,C3 plants,"KM values are probably fine, but unclear how they converted from vmax to kcat. PMID 24675672 says this one is C3. S calculated with kcat,O reported in study; pKa calculated using formula from Umreit book (6.317 at 38C, increases .005/C from 20 to 40C, increases .006 between 10 and 20C, increases .010 between 0 and 10C)",Badger & Collatz 1977,None,"Badger MR, Collatz GJ. 1977. Studies on the kinetic mechanism of ribulose-1,5-bisphosphate carboxylase and oxygenase reactions, with particular reference to the effect of temperature on kinetic parameters. Carnegie Institution of Washington Yearbook 76, 355-361.",1977
,Anabaena,variabilis,,0,,1,FALSE,2.6931,,,293,,,1080,,,33.3,,,25,8,6.36,1Bc,Cyanobacteria,Reported kcat_C&_O as specific activity; S reported in Tcherkez+ 2006 as 43 due to adjustment to pKa of 6.25 from 6.36,Badger 1980,6772105,"Badger, M. R. (1980). Kinetic properties of ribulose 1,5-bisphosphate carboxylase/oxygenase from Anabaena variabilis. Arch. Biochem. Biophys. 201, 247-254.",1980
,Atriplex,patula,,0,,1,FALSE,,,,21,,,280,,,,,,25,8.3,6.37,1B,C3 plants,pH from Badger & Andrews 1974,Badger 1974,None,"Badger, M.R., Andrews, T.J., and Osmond, C.B. 1974. Detection in C3 , C4 and CAM plant leaves of a low-Km(CO2) form of RuDP carboxylase, having high RuDP oxygenase activity at physiological pH. In Proceedings of the 3rd International Conference on Photosynthesis. Edited by M. Avron. Elsevier Scientific Publishing Co., Amsterdam, The Netherlands, and The Weizmann Institute of Science, Rehovot, Israel. pp. 1421–1429.",1974
,Atriplex,spongiosa,,0,,1,FALSE,,,,35,,,160,,,,,,25,8.3,6.37,1B,C4 plants,pH from Badger & Andrews 1974,Badger 1974,None,"Badger, M.R., Andrews, T.J., and Osmond, C.B. 1974. Detection in C3 , C4 and CAM plant leaves of a low-Km(CO2) form of RuDP carboxylase, having high RuDP oxygenase activity at physiological pH. In Proceedings of the 3rd International Conference on Photosynthesis. Edited by M. Avron. Elsevier Scientific Publishing Co., Amsterdam, The Netherlands, and The Weizmann Institute of Science, Rehovot, Israel. pp. 1421–1429.",1974
,Kalanchoë,daigremontiana,,0,,1,FALSE,,,,18,,,310,,,,,,25,8.3,6.37,1B,CAM plants,pH from Badger & Andrews 1974,Badger 1974,None,"Badger, M.R., Andrews, T.J., and Osmond, C.B. 1974. Detection in C3 , C4 and CAM plant leaves of a low-Km(CO2) form of RuDP carboxylase, having high RuDP oxygenase activity at physiological pH. In Proceedings of the 3rd International Conference on Photosynthesis. Edited by M. Avron. Elsevier Scientific Publishing Co., Amsterdam, The Netherlands, and The Weizmann Institute of Science, Rehovot, Israel. pp. 1421–1429.",1974
