identifier,genus,species,subspecies,mutant,mutant_details,primary,heterologous_expression,kcat_val,kcat_T,kcat_pH,Kc_val,Kc_T,Kc_pH,Ko_val,Ko_T,Ko_pH,S_val,S_T,S_pH,temp,pH,pKa_used,form,PGS,taxonomy,group,note,short_ref,year
acaryochloris_de_pins_2024,Acaryochloris,sp,,FALSE,,TRUE,E. coli,5.7,30,8,,,,,,,,,,,,na,1Bc,canon,Cyanobacteria,Bacteria,Accession number WP_010467950.1,de Pins 2024,2024
acaryochloris_de_pins_2025,Acaryochloris,sp,,FALSE,,FALSE,E. coli,12.3494233075793,30,8,,,,,,,,,,,,na,1Bc,canon,Cyanobacteria,Bacteria,Accession number WP_010467950.1,de Pins 2025,2025
vicinus_davidi_2020,Accumulibacter,vicinus,,FALSE,,TRUE,E. coli,7.1,30,8,,,,,,,,,,,,na,2,,Betaproteobacteria,Metagenome,Spectroscopic; accession number KFB68024.1,Davidi 2020,2020
accumulibacter_davidi_2020,Accumulibacter,sp,SK-11,FALSE,,TRUE,E. coli,1.5,30,8,,,,,,,,,,,,na,2,,Betaproteobacteria,Metagenome,Spectroscopic; accession number EXI76444.1,Davidi 2020,2020
vicinus_de_pins_2025,Accumulibacter,vicinus,,FALSE,,FALSE,E. coli,10.2202123924794,30,8,,,,,,,,,,,,na,2,,Betaproteobacteria,Metagenome,Accession number KFB68024.1,de Pins 2025,2025
accumulibacter_de_pins_2025,Accumulibacter,sp,SK-11,FALSE,,FALSE,E. coli,3.40673746415981,30,8,,,,,,,,,,,,na,2,,Betaproteobacteria,Metagenome,Accession number EXI76444.1,de Pins 2025,2025
acetabulum_capó-bauçà_2022b,Acetabularia,acetabulum,,FALSE,,TRUE,FALSE,3.64,,,19.4,,,761,,,75.7,,,25,8.1,6.12,1B,canon,Macroalgae,Algae,pKa from Galmés 2014; Kane method for Sc/o so no need for pKa there,Capó-Bauçà 2022b,2022
acidithiobacillus_davidi_2020,Acidithiobacillus,sp,,FALSE,,TRUE,E. coli,6.8,30,8,,,,,,,,,,,,na,2,,Acidithiobacillia,Bacteria,Spectroscopic; accession number WP_075323289.1,Davidi 2020,2020
ferrivorans_davidi_2020,Acidithiobacillus,ferrivorans,,FALSE,,TRUE,E. coli,3,30,8,,,,,,,,,,,,na,2,,Acidithiobacillia,Bacteria,Spectroscopic; accession number WP_014028655.1,Davidi 2020,2020
acidithiobacillus_de_pins_2024,Acidithiobacillus,sp,,FALSE,,TRUE,E. coli,3.3,30,8,,,,,,,,,,,,na,1Ac,,Acidithiobacillia,Bacteria,Accession number WP_012536704.1,de Pins 2024,2024
ferrianus_de_pins_2024,Acidithiobacillus,ferrianus,,FALSE,,TRUE,E. coli,5.2,30,8,,,,,,,,,,,,na,1Ac,,Acidithiobacillia,Bacteria,Accession number WP_163097315.1,de Pins 2024,2024
a_ferrooxidans_de_pins_2025,Acidithiobacillus,ferrooxidans,ATCC 23270,FALSE,,FALSE,E. coli,23.4213200660986,30,8,,,,,,,,,,,,na,2,,Acidithiobacillia,Bacteria,Accession number WP_012537012.1,de Pins 2025,2025
caldus_de_pins_2025,Acidithiobacillus,caldus,,FALSE,,TRUE,E. coli,20.2275036934488,30,8,,,,,,,,,,,,na,2,,Acidithiobacillia,Bacteria,Accession number WP_004872227.1,de Pins 2025,2025
acidithiobacillus_2_de_pins_2025,Acidithiobacillus,sp,,FALSE,,FALSE,E. coli,15.9690818632491,30,8,,,,,,,,,,,,na,2,,Acidithiobacillia,Bacteria,Accession number WP_075323289.1,de Pins 2025,2025
ferrianus_de_pins_2025,Acidithiobacillus,ferrianus,,FALSE,,FALSE,E. coli,11.2848178500293,30,8,,,,,,,,,,,,na,1Ac,,Acidithiobacillia,Bacteria,Accession number WP_163097315.1,de Pins 2025,2025
ferrivorans_de_pins_2025,Acidithiobacillus,ferrivorans,,FALSE,,FALSE,E. coli,10.0072913009694,30,8,,,,,,,,,,,,na,2,,Acidithiobacillia,Bacteria,Accession number WP_014028655.1,de Pins 2025,2025
acidithiobacillus_1Ac_de_pins_2025,Acidithiobacillus,sp,,FALSE,,FALSE,E. coli,7.23931711133959,30,8,,,,,,,,,,,,na,1Ac,,Acidithiobacillia,Bacteria,Accession number WP_012536704.1,de Pins 2025,2025
ferrooxidans_Holuigue_1987,Acidithiobacillus,ferrooxidans,Torma,FALSE,,TRUE,FALSE,,,,28,30,7.2,,,,,,,,,6.35,1Ac,,Gammaproteobacteria,Bacteria,,Holuigue 1987,1987
ferrooxidans_schulz_2022,Acidithiobacillus,ferrooxidans,,FALSE,,TRUE,E. coli,,,,,,,,,,17.9,,8.1,25,8,6.25,2,,Acidithiobacillia,Bacteria,2 pKa model; Kane method for Sc/o so no pKa needed,Schulz 2022,2022
ferrooxidans_tsai_2025,Acidithiobacillus,ferrooxidans,,FALSE,,TRUE,E. coli,17.1,,,282,,,,,,16.4,,8.3,25,8,6.25,2,,Acidithiobacillia,Bacteria,2 pKa model used; accession number WP_012537012.1,Tsai 2025,2025
ferrooxidans_davidi_2020_corrected,Acidithiobacillus,ferrooxidans,,FALSE,,TRUE,E. coli,15.1,,,239,,,,,,63,,8.3,25,8,6.25,2,,Acidithiobacillia,Bacteria,Corrected values from Davidi 2020; 2 pKa model used; accession number WP_012537012.1,Tsai 2025,2025
glacialis_Yeoh_1981,Aciphylla,glacialis,alpine,FALSE,,TRUE,FALSE,,,,15,25,8.0,,,,,,,,,6.37,1B,canon,C3 plants,Plants,alpine,Yeoh 1981,1981
arcta_Iñiguez_2019,Acrosiphonia,arcta,,FALSE,,TRUE,FALSE,5.08,,,52.8,,,,,,,,,25,8.1,6.11,1B,canon,Macroalgae,Algae,,Iñiguez 2019,2019
