identifier,genus,species,subspecies,kcat_val,kcat_T,Kc_val,Kc_T,Ko_val,Ko_T,S_val,S_T,temp,form,PGS,taxonomy,group,note,short_ref
biuncialis_Prins_2016,Aegilops,biuncialis,,3.2,,16.8,,470,,96.3,,25,1B,canon,C3 plants,Plants,all wheat variants,Prins 2016
comosa_Prins_2016,Aegilops,comosa,,2.86,,13.5,,360,,106,,25,1B,canon,C3 plants,Plants,all wheat variants,Prins 2016
cylindrica_Prins_2016,Aegilops,cylindrica,,3.68,,13.7,,451,,109,,25,1B,canon,C3 plants,Plants,all wheat variants,Prins 2016
juvenalis_Prins_2016,Aegilops,juvenalis,,3.25,,20.6,,492,,90.4,,25,1B,canon,C3 plants,Plants,all wheat variants,Prins 2016
speltoides_Prins_2016,Aegilops,speltoides,,3.24,,16.5,,447,,102,,25,1B,canon,C3 plants,Plants,all wheat variants,Prins 2016
tauschii_Prins_2016,Aegilops,tauschii,,2.86,,14.9,,495,,107,,25,1B,canon,C3 plants,Plants,all wheat variants,Prins 2016
triuncialis_Prins_2016,Aegilops,triuncialis,,2.62,,12.8,,380,,103,,25,1B,canon,C3 plants,Plants,all wheat variants,Prins 2016
uniaristata_Prins_2016,Aegilops,uniaristata,,2.7,,13.8,,450,,102,,25,1B,canon,C3 plants,Plants,all wheat variants,Prins 2016
vavilovii_Prins_2016,Aegilops,vavilovii,,3.32,,13.3,,363,,109,,25,1B,canon,C3 plants,Plants,all wheat variants,Prins 2016
squarrosum_Orr_2016,Agriophyllum,squarrosum,,2.8,,15.4,,339,,93.9,,25,1B,canon,C3 plants,Plants,Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there.,Orr 2016
scabra_Orr_2016,Agrostis,scabra,,3.6,,22,,653,,103,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
stolonifera_Orr_2016,Agrostis,stolonifera,,5.2,,25.3,,802,,105,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
vinosum_Jordan_1985,Allochromatium,vinosum,,6.7,,37,,290,,41,,25,1Aq,,Gammaproteobacteria,Bacteria,"crude extract combo of both carboxylases, potentially, but 1Ac is expressed in low concentrations so assuming it's 1Aq",Jordan 1985
caudatus_Kubien_2008,Amaranthus,caudatus,,4.14,,18.2,,289,,77.5,,25,1B,canon,C4 plants,Plants,Used Kane method for S so no pKa correction needed,Kubien 2008
bracteata_Orr_2016,Amphicarpaea,bracteata,,4,,29,,693,,97.5,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
variabilis_Badger_1980,Anabaena,variabilis,,2.6931,,293,,1080,,33.3,,25,1Bc,canon,Cyanobacteria,Bacteria,Reported kcat_C&_O as specific activity; S reported in Tcherkez+ 2006 as 43 due to adjustment to pKa of 6.25 from 6.36,Badger 1980
fulgidus_Kreel_2015,Archaeoglobus,fulgidus,,23.1,,51,,5,,4,,83,3,alt,Archaea,Archaea,"Points to Kreel & Tabita 2007, but no pKa given there either - calculated from Lange's handbook of Chemistry (13th edition). KC determined anaerobically. Fulgidus WT values almost identical to 2007 paper - Table indicates that they are copied.",Kreel 2015
latifolia_Orr_2016,Arctagrostis,latifolia,,5.8,,21,,497,,105,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
myriantha_Orr_2016,Artemisia,myriantha,,3.1,,26.4,,844,,110,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
artemisia_vulgaris_Orr_2016,Artemisia,vulgaris,,3.9,,31.9,,626,,105,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
glabriuscula_Badger_&_Collatz_1977,Atriplex,glabriuscula,,32.6,,48,,499,,59.9830383480826,,35,1B,canon,C3 plants,Plants,"KM values are probably fine, but unclear how they converted from vmax to kcat. PMID 24675672 says this one is C3. S calculated with kcat,O reported in study; pKa calculated using formula from Umreit book (6.317 at 38C, increases .005/C from 20 to 40C, increases .006 between 10 and 20C, increases .010 between 0 and 10C)",Badger & Collatz 1977
avena_sativa_Hermida-Carrera_2016,Avena,sativa,Forridena,2.3,,10.8,,382,,99.9,,25,1B,canon,C3 plants,Plants,"Ko is reported in Iniguez databases (Iniguez et al. 2019, Iniguez et al. 2021, etc.) although only kcat_o/Ko is reported in original paper",Hermida-Carrera 2016
bathyomphala_Valegård_2018,Bacterosira,bathyomphala,,4.543,,81,,1300,,87,,25,1D,canon,Diatoms,Algae,pH from Carmo-Silva et al. 2010,Valegård 2018
beta_vulgaris_Hermida-Carrera_2016,Beta,vulgaris,Detroit,2,,10.8,,357,,101,,25,1B,canon,C3 plants,Plants,"Ko is reported in Iniguez databases (Iniguez et al. 2019, Iniguez et al. 2021, etc.) although only kcat_o/Ko is reported in original paper",Hermida-Carrera 2016
beta_vulgaris_Orr_2016,Beta,vulgaris,vulgaris,3.8,,17,,401,,97.8,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0.",Orr 2016
distachyon_Prins_2016,Brachypodium,distachyon,,2.05,,11.9,,396,,111,,25,1B,canon,C3 plants,Plants,all wheat variants,Prins 2016
brassica_oleracea_Hermida-Carrera_2016,Brassica,oleracea,var italica,2.1,,11.8,,411,,96.2,,25,1B,canon,C3 plants,Plants,"Ko is reported in Iniguez databases (Iniguez et al. 2019, Iniguez et al. 2021, etc.) although only kcat_o/Ko is reported in original paper",Hermida-Carrera 2016
anomalus_Orr_2016,Bromus,anomalus,,2.9,,16.9,,494,,101,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
arundinacea_Orr_2016,Calamagrostis,arundinacea,,4.1,,22.7,,614,,104,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
calamagrostis_canescens_Orr_2016,Calamagrostis,canescens,,2.5,,15.2,,594,,98.5,,25,1B,canon,C3 plants,Plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016
