identifier,genus,species,subspecies,kcat_val,kcat_T,Kc_val,Kc_T,Ko_val,Ko_T,S_val,S_T,temp,form,PGS,taxonomy,note
biuncialis_prins_2016,Aegilops,biuncialis,,3.2,,16.8,,470,,96.3,,25,1B,canon,C3 plants,Prins 2016
comosa_prins_2016,Aegilops,comosa,,2.86,,13.5,,360,,106,,25,1B,canon,C3 plants,Prins 2016
cylindrica_prins_2016,Aegilops,cylindrica,,3.68,,13.7,,451,,109,,25,1B,canon,C3 plants,Prins 2016
juvenalis_prins_2016,Aegilops,juvenalis,,3.25,,20.6,,492,,90.4,,25,1B,canon,C3 plants,Prins 2016
speltoides_prins_2016,Aegilops,speltoides,,3.24,,16.5,,447,,102,,25,1B,canon,C3 plants,Prins 2016
tauschii_prins_2016,Aegilops,tauschii,,2.86,,14.9,,495,,107,,25,1B,canon,C3 plants,Prins 2016
triuncialis_prins_2016,Aegilops,triuncialis,,2.62,,12.8,,380,,103,,25,1B,canon,C3 plants,Prins 2016
uniaristata_prins_2016,Aegilops,uniaristata,,2.7,,13.8,,450,,102,,25,1B,canon,C3 plants,Prins 2016
vavilovii_prins_2016,Aegilops,vavilovii,,3.32,,13.3,,363,,109,,25,1B,canon,C3 plants,Prins 2016
squarrosum_orr_2016,Agriophyllum,squarrosum,,2.8,,15.4,,339,,93.9,,25,1B,canon,C3 plants,Orr 2016
scabra_orr_2016,Agrostis,scabra,,3.6,,22,,653,,103,,25,1B,canon,C3 plants,Orr 2016
stolonifera_orr_2016,Agrostis,stolonifera,,5.2,,25.3,,802,,105,,25,1B,canon,C3 plants,Orr 2016
vinosum_jordan_1985,Allochromatium,vinosum,,6.7,,37,,290,,41,,25,1A,,Gammaproteobacteria,Jordan 1985
caudatus_kubien_2008,Amaranthus,caudatus,,4.14,,18.2,,289,,77.5,,25,1B,canon,C4 plants,Kubien 2008
bracteata_orr_2016,Amphicarpaea,bracteata,,4,,29,,693,,97.5,,25,1B,canon,C3 plants,Orr 2016
variabilis_badger_1980,Anabaena,variabilis,,2.6931,,293,,1080,,33.31583093,,25,1Bc,,Cyanobacteria,Badger 1980
fulgidus_kreel_2015,Archaeoglobus,fulgidus,,23.1,,51,,5,,4,,83,3,,Archaea,Kreel 2015
latifolia_orr_2016,Arctagrostis,latifolia,,5.8,,21,,497,,105,,25,1B,canon,C3 plants,Orr 2016
myriantha_orr_2016,Artemisia,myriantha,,3.1,,26.4,,844,,110,,25,1B,canon,C3 plants,Orr 2016
a_vulgaris_orr_2016,Artemisia,vulgaris,,3.9,,31.9,,626,,105,,25,1B,canon,C3 plants,Orr 2016
glabriuscula_badger_1977,Atriplex,glabriuscula,,13.7,,27,,328,,66.30662535,,25,1B,canon,C3 plants,Badger & Collatz 1977
a_sativa_hermida_2016,Avena,sativa,,2.3,,10.8,,382,,99.9,,25,1B,canon,C3 plants,Hermida-Carrera 2016
bathyomphala_valegård_2018,Bacterosira,bathyomphala,,4.543,,81,,1300,,87,,25,1D,,Diatoms,Valegård et al 2018
b_vulgaris_hermida_2016,Beta,vulgaris,,2,,10.8,,357,,101,,25,1B,canon,C3 plants,Hermida-Carrera 2016
b_vulgaris_orr_2016,Beta,vulgaris,,3.8,,17,,401,,97.8,,25,1B,canon,C3 plants,Orr 2016
distachyon_prins_2016,Brachypodium,distachyon,,2.05,,11.9,,396,,111,,25,1B,canon,C3 plants,Prins 2016
b_oleracea_hermida_2016,Brassica,oleracea,,2.1,,11.8,,411,,96.2,,25,1B,canon,C3 plants,Hermida-Carrera 2016
anomalus_orr_2016,Bromus,anomalus,,2.9,,16.9,,494,,101,,25,1B,canon,C3 plants,Orr 2016
arundinacea_orr_2016,Calamagrostis,arundinacea,,4.1,,22.7,,614,,104,,25,1B,canon,C3 plants,Orr 2016
c_canescens_orr_2016,Calamagrostis,canescens,,2.5,,15.2,,594,,98.5,,25,1B,canon,C3 plants,Orr 2016
foliosa_orr_2016,Calamagrostis,foliosa,,3.5,,20.9,,330,,105,,25,1B,canon,C3 plants,Orr 2016
inexpansa_orr_2016,Calamagrostis,inexpansa,,3.3,,18.8,,608,,111,,25,1B,canon,C3 plants,Orr 2016
nutkaensis_orr_2016,Calamagrostis,nutkaensis,,3.1,,20.1,,601,,109,,25,1B,canon,C3 plants,Orr 2016
annuum_hermida_2016,Capsicum,annuum,,1.9,,9.6,,243,,96,,25,1B,canon,C3 plants,Hermida-Carrera 2016
ciliaris_sharwood_2016,Cenchrus,ciliaris,,6,,19,,470,,69.9,,25,1B,canon,C4 plants,Sharwood 2016
