identifier,genus,species,subspecies,kcat dH,Kc dH,Ko dH,S dH,Form,Taxonomy,Note,short_ref
1,Thalassiosira,weissflogii,,54.0507,,,,1D,Diatoms,,Young unpublished
2,Thalassiosira,oceanica,,57.6962,,,,1D,Diatoms,,Young unpublished
3,Fragilariopsis,cylindrus,,38.325,,,,1D,Diatoms,,Young unpublished
4,Thermococcus,kodakariensis,,37.1,,,,3,Archaea,From Ezaki et al. 1999,Galmés 2015
5,Thermochromatium,tepidum,,44,,,,,Proteobacteria,From Heda & Madigan 1988,Galmés 2015
6,Allochromatium,vinosum,,57.9,,,,,Proteobacteria,From Heda & Madigan 1988,Galmés 2015
7,Thiobacillus,endosymbiont,,39.7,,,,,Proteobacteria,From Stein and Felbeck 1993,Galmés 2015
8,Thiomicrospira,thyasirae,,42,,,,,Proteobacteria,From Cook et al. 1991,Galmés 2015
9,Cyanidium,caldarium,,76.3,,,,1D,Red algae,From Ford 1979,Galmés 2015
10,Anabaena,variabilis,,57.3,,,,1Bc,Cyanobacteria,From Badger 1980,Galmés 2015
11,Parathermosynechococcus,lividus,,35.2,,,,1Bc,Cyanobacteria,From Sheridan & Ulik 1976,Galmés 2015
12,Synechococcus,strain a-1,,27.8,,,,1Bc,Cyanobacteria,From Yaguchi et al. 1992; probably related to Thermosynechococcus,Galmés 2015
13,Chlamydomonas,reinhardtii,,24.4,,,,1B,Green algae,From Devos et al. 1998,Galmés 2015
14,Chlorella,emersonii,,29,,,,1B,Green algae,From Ford 1979,Galmés 2015
15,Chloromonas,strain ANT1,,26.4,,,,1B,Green algae,From Devos et al. 1998,Galmés 2015
16,Chloromonas,strain ANT3,,26.9,,,,1B,Green algae,From Devos et al. 1998,Galmés 2015
17,Alopecurus,alpinus,,62.5,,,,1B,C3 plants,From Tieszen & Sigurdson 1973,Galmés 2015
18,Arctagrostis,latifolia,,50.5,,,,1B,C3 plants,From Tieszen & Sigurdson 1973,Galmés 2015
19,Atriplex,glabriuscula,,69.3,,,,1B,C3 plants,From Badger & Collatz 1977,Galmés 2015
20,Chenopodium,album,,52.9,,,,1B,C3 plants,From Sage et al. 1995,Galmés 2015
21,Dupontia,fisheri,,55.8,,,,1B,C3 plants,From Tieszen & Sigurdson 1973,Galmés 2015
22,Espeletia,schultzii,,45.1,,,,1B,C3 plants,From Castrillo 1995,Galmés 2015
23,Pinus,sylvestris,,57.3,,,,1B,C3 plants,From Gezelius 1975,Galmés 2015
24,Poa,arctica,,60.1,,,,1B,C3 plants,From Sage et al. 2002,Galmés 2015
25,Poa,pratensis,,50.8,,,,1B,C3 plants,From Sage et al. 2002,Galmés 2015
26,Solanum,tuberosum,,54.6,,,,1B,C3 plants,From Sage et al. 2002,Galmés 2015
27,Spinacia,oleracea,,46.2,,,,1B,C3 plants,From Badger & Andrews 1974,Galmés 2015
28,Triticum,aestivum,,58.1,,,,1B,C3 plants,From Makino et al. 1988,Galmés 2015
29,Agropyron,smithii,,54.7,,,,1B,C3 plants,From Monson et al. 1982,Galmés 2015
30,Arachis,hypogaea,,60.6,,,,1B,C3 plants,From Sage et al. 2002,Galmés 2015
31,Astragalus,flavus,,84.4,,,,1B,C3 plants,From Weber et al. 1977,Galmés 2015
32,Astragalus,rafaelensis,,78.8,,,,1B,C3 plants,From Weber et al. 1977,Galmés 2015
33,Capsicum,chinense,,54.5,,,,1B,C3 plants,From Sage et al. 2002,Galmés 2015
34,Flaveria,pringlei,,50.4,,,,1B,C3 plants,From Sage et al. 2002,Galmés 2015
