alternate_name,genus_database,species_database,subspecies_database
Snow aciphyll,Aciphylla,glacialis,
Mountain celery,Aciphylla,glacialis,
Thiobacillus ferrooxidans,Acidithiobacillus,ferrooxidans,
Ferrobacillus ferrooxidans,Acidithiobacillus,ferrooxidans,
Anabaena sp. PCC7120,Nostoc,sp,7120
Anacystis nidulans,Synechococcus,,
Plectonema boryanum,Leptolyngbya,boryana,
Polypodium aureum,Phlebodium,aureum,
Lycopersicon esculentum,Solanum,lycopersicum,
Tomato,Solanum,lycopersicum,
Tetragonia expansa,Tetragonia,tetragonioides,
New Zealand spinach,Tetragonia,tetragonioides,
Alcaligenes eutrophus,Cupriavidus,necator,
Synechococcus sp. CS-94,Synechocystis,sp. CS-94,
Synechococcus sp. Nageli,Synechocystis,sp. CS-94,
Synechococcus elongatus Nageli,Synechocystis,sp. CS-94,
Synechococcus sp. RRIMP N1,Synechocystis,sp. CS-94,
Synechococcus sp. ACMM 323,Synechocystis,sp. CS-94,
Giant taro,Alocasia,macrorrhizos,
Sunflower,Helianthus,annuus,
Chenopodium rubrum,Oxybasis,rubra,
Amaranthus edulis,Amaranthus,caudatus,
Beta maritima,Beta,vulgaris,Maritima
Triticum timpopheevii subsp. timopheevii,Triticum,timonovum,
Sugarcane,Saccharum,officinarum,
Oat,Avena,sativa,
Beet,Beta,vulgaris,
Broccoli,Brassica,oleracea,var Italica
Chili pepper,Capsicum,annuum,Picante
Coffee,Coffea,arabica,
Squash,Cucurbita,maxima,
Soybean,Glycine,max,
Barley,Hordeum,vulgare,
Sweet potato,Ipomoea,batatas,
Lettuce,Lactuca,sativa,
Cassava,Manihot,esculenta,
Alfalfa,Medicago,sativa,
Rice,Oryza,sativa,
Green bean,Phaseolus,vulgaris,
Potato,Solanum,tuberosum,
Spinach,Spinacia,oleracea,
Wheat,Triticum,aestivum,
Maize,Zea,mays,
Jointed goatgrass,Aegilops,cylindrica,
Spring wheat,Triticum,aestivum,
Emmer wheat,Triticum,dicoccon,
Sanduri wheat,Triticum,timopheevii,
Aegilops squarrosa,Aegilops,tauschii,
Barbed goatgrass,Aegilops,triuncialis,
Einkorn,Triticum,monococcum,
Purple false brome,Brachypodium,distachyon,
Peanut,Arachis,hypogaea,
Kudzu,Pueraria,lobata,
Pennisetum clandestinum,Cenchrus,clandestinus,
Chrysanthemum coronarium,Glebionis,coronaria,
Lotus creticus spp. Cytisoides,Lotus,cytisoides,
Panicum maximum,Megathyrsus,maximus,
Pennisetum purpureus,Cenchrus,purpureus,
Suaeda moquinii,Suaeda,nigra,
Beta maritima spp. Marcosii,Beta,vulgaris,marcosii
Malva wigandii,Malva,subovata,subovata
Pimpinella bicknellii,Spiroceratium,bicknellii,
Plantain,Plantago,lanceolata,
Trichormus variabilis,Anabaena,variabilis,
Methanococcus jannaschii,Methanocaldococcus,jannaschii,
Agropyron intermedium,Elysmus,hispidus,
Thinopyrum intermedium,Elysmus,hispidus,
