short_ref,pmid_or_doi,citation
Aguiló-Nicolau 2023,10.1007/s11120-023-01008-y,"Aguiló-Nicolau, P. et al. Singular adaptations in the carbon assimilation mechanism of the polyextremophile cyanobacterium Chroococcidiopsis thermalis. Photosynth Res 156, 231–245 (2023)."
Alonso 2009,19837658,"Alonso, H., Blayney, M. J., Beck, J. L. & Whitney, S. M. Substrate-induced assembly of Methanococcoides burtonii D-ribulose-1,5-bisphosphate carboxylase/oxygenase dimers into decamers. J Biol Chem 284, 33876–33882 (2009)."
Andrews & Lorimer 1985,3921534,"Andrews, T. J. & Lorimer, G. H. Catalytic properties of a hybrid between cyanobacterial large subunits and higher plant small subunits of ribulose bisphosphate carboxylase-oxygenase. J Biol Chem 260, 4632–4636 (1985)."
Badger & Collatz 1977,na,"Badger, M. & Collatz, G. Studies on the kinetic mechanism of ribulose-1,5-bisphosphate carboxylase and oxygenase reactions, with particular reference to the effect of temperature on kinetic parameters. Carnegie Institution of Washington Yearbook 76, 355–361 (1977)."
Badger 1974,na,"Badger, M., Andrews, T. & Osmond, C. Detection in C3, C4 and CAM plant leaves of a low-Km(CO2) form of RuDP carboxylase, having high RuDP oxygenase activity at physiological pH. in Proceedings of the 3rd International Conference on Photosynthesis (ed. Avron, M.) 1421–1429 (Elsevier Scientific Publishing Company, Amsterdam, 1974)."
Badger 1980,6772105,"Badger, M. R. Kinetic properties of ribulose 1,5-bisphosphate carboxylase/oxygenase from Anabaena variabilis. Arch Biochem Biophys 201, 247–254 (1980)."
Bainbridge 1998,9820816,"Bainbridge, G., Anralojc, P. J., Madgwick, P. J., Pitts, J. E. & Parry, M. A. Effect of mutation of lysine-128 of the large subunit of ribulose bisphosphate carboxylase/oxygenase from Anacystis nidulans. Biochem J 336 ( Pt 2), 387–393 (1998)."
Balaguer 1996,na,"Balaguer, L., Afif, D., Dizengremel, P. & Dreyer, E. Specificity Factor of Ribulose Bisphosphate Carboxylase/Oxygenase of Quercus robur. Plant Physiology and Biochemistry 34, 879–883 (1996)."
Banda 2020,10.1038/s41477-020-00762-4,"Banda, D. M. et al. Novel bacterial clade reveals origin of form I Rubisco. Nat. Plants 6, 1158–1166 (2020)."
Boller 2011,10.1016/j.gca.2011.08.031,"Boller, A. J., Thomas, P. J., Cavanaugh, C. M. & Scott, K. M. Low stable carbon isotope fractionation by coccolithophore RubisCO. Geochimica et Cosmochimica Acta 75, 7200–7207 (2011)."
Boller 2015,10.1111/gbi.12112,"Boller, A. J., Thomas, P. J., Cavanaugh, C. M. & Scott, K. M. Isotopic discrimination and kinetic parameters of R ubis CO from the marine bloom‐forming diatom,  S keletonema costatum . Geobiology 13, 33–43 (2015)."
Bota 2002,10.5073/vitis.2002.41.163-168,"Bota, J. et al. CO2/O2 specificity factor of ribulose-1,5-bisphosphate carboxylase/oxygenase in grapevines (Vitis vinifera L.): First in vitro determination and comparison to in vivo estimations. VITIS - Journal of Grapevine Research 163 Pages (2015) doi:10.5073/VITIS.2002.41.163-168."
Bowien 1976,10.1007/BF00690223,"Bowien, B., Mayer, F., Codd, G. A. & Schlegel, H. G. Purification, some properties and quaternary structure of thed-ribulose 1,5-diphosphate carboxylase ofAlcaligenes eutrophus. Arch. Microbiol. 110, 157–166 (1976)."
Bowien 1977,10.1111/j.1574-6968.1977.tb00956.x,"Bowien, B. D-ribulose 1,5-bisphosphate carboxylase from Paracoccus denitrificans. FEMS Microbiology Letters 2, 263–266 (1977)."
Boyd 2015,26373659,"Boyd, R. A., Gandin, A. & Cousins, A. B. Temperature Responses of C4 Photosynthesis: Biochemical Analysis of Rubisco, Phosphoenolpyruvate Carboxylase, and Carbonic Anhydrase in Setaria viridis. Plant Physiol 169, 1850–1861 (2015)."
Boyd 2019,30403800,"Boyd, R. A., Cavanagh, A. P., Kubien, D. S. & Cousins, A. B. Temperature response of Rubisco kinetics in Arabidopsis thaliana: thermal breakpoints and implications for reaction mechanisms. J Exp Bot 70, 231–242 (2019)."
Capó-Bauçà 2022a,10.1038/s41477-022-01171-5,"Capó-Bauçà, S., Iñiguez, C., Aguiló-Nicolau, P. & Galmés, J. Correlative adaptation between Rubisco and CO2-concentrating mechanisms in seagrasses. Nat. Plants 8, 706–716 (2022)."
Capó-Bauçà 2022b,10.1111/nph.18623,"Capó‐Bauçà, S., Galmés, J., Aguiló‐Nicolau, P., Ramis‐Pozuelo, S. & Iñiguez, C. Carbon assimilation in upper subtidal macroalgae is determined by an inverse correlation between Rubisco carboxylation efficiency and  CO2  concentrating mechanism effectiveness. New Phytologist 237, 2027–2038 (2023)."
Capó-Bauçà 2023,10.1093/plphys/kiac492,"Capó-Bauçà, S. et al. The trajectory in catalytic evolution of Rubisco in Posidonia seagrass species differs from terrestrial plants. Plant Physiology 191, 946–956 (2023)."
Carmo-Silva 2010,20363871,"Carmo-Silva, A. E. et al. Rubisco activities, properties, and regulation in three different C4 grasses under drought. J Exp Bot 61, 2355–2366 (2010)."
Castrillo 1995,10.1007/BF00317283,"Castrillo, M. Ribulose-1,5-bis-phosphate carboxylase activity in altitudinal populations of Espeletia schultzii Wedd. Oecologia 101, 193–196 (1995)."
Chen 1988,3133659,"Chen, Z. X., Chastain, C. J., Al-Abed, S. R., Chollet, R. & Spreitzer, R. J. Reduced CO2/O2 specificity of ribulose-bisphosphate carboxylase/oxygenase in a temperature-sensitive chloroplast mutant of Chlamydomonas. Proc Natl Acad Sci U S A 85, 4696–4699 (1988)."
Davidi 2020,10.15252/embj.2019104081,"Davidi, D. et al. Highly active rubiscos discovered by systematic interrogation of natural sequence diversity. EMBO J 39, EMBJ2019104081 (2020)."
de Pins 2024,10.1038/s44318-024-00119-z,"De Pins, B. et al. A systematic exploration of bacterial form I rubisco maximal carboxylation rates. EMBO J 43, 3072–3083 (2024)."
de Pins 2025,10.1073/pnas.2501433122,"De Pins, B. et al. Rubisco is slow across the tree of life. Proc. Natl. Acad. Sci. U.S.A. 122, e2501433122 (2025)."
Delgado 1993,10.1093/jxb/46.11.1775,"Delgado, E., Medrano, H., Keys, A. J. & Parry, M. A. J. Species variation in Rubisco specificity factor. J Exp Bot 46, 1775–1777 (1995)."
Du and Spreitzer 2000,10779514,"Du, Y. C. & Spreitzer, R. J. Suppressor mutations in the chloroplast-encoded large subunit improve the thermal stability of wild-type ribulose-1,5-bisphosphate carboxylase/oxygenase. J Biol Chem 275, 19844–19847 (2000)."
Ezaki 1999,9988755,"Ezaki, S., Maeda, N., Kishimoto, T., Atomi, H. & Imanaka, T. Presence of a structurally novel type ribulose-bisphosphate carboxylase/oxygenase in the hyperthermophilic archaeon, Pyrococcus kodakaraensis KOD1. J Biol Chem 274, 5078–5082 (1999)."
Gago 2013,23692357,"Gago, J. et al. Photosynthesis limitations in three fern species. Physiol Plant 149, 599–611 (2013)."
Galmés 2005,10.1111/j.1365-3040.2005.01300.x,"Galmés, J. et al. Rubisco specificity factor tends to be larger in plant species from drier habitats and in species with persistent leaves. Plant Cell & Environment 28, 571–579 (2005)."
Galmés 2014a,24861241,"Galmés, J. et al. Environmentally driven evolution of Rubisco and improved photosynthesis and growth within the C3 genus Limonium (Plumbaginaceae). New Phytol 203, 989–999 (2014)."
Galmés 2014b,24689692,"Galmés, J. et al. Expanding knowledge of the Rubisco kinetics variability in plant species: environmental and evolutionary trends. Plant Cell Environ 37, 1989–2001 (2014)."
Galmés 2015,10.1007/s11120-014-0067-8,"Galmés, J., Kapralov, M. V., Copolovici, L. O., Hermida-Carrera, C. & Niinemets, Ü. Temperature responses of the Rubisco maximum carboxylase activity across domains of life: phylogenetic signals, trade-offs, and importance for carbon gain. Photosynth Res 123, 183–201 (2015)."
Galmés 2016,10.1093/jxb/erw267,"Galmés, J., Hermida-Carrera, C., Laanisto, L. & Niinemets, Ü. A compendium of temperature responses of Rubisco kinetic traits: variability among and within photosynthetic groups and impacts on photosynthesis modeling. EXBOTJ 67, 5067–5091 (2016)."
Genkov and Spreitzer 2009,19734149,"Genkov, T. & Spreitzer, R. J. Highly conserved small subunit residues influence rubisco large subunit catalysis. J Biol Chem 284, 30105–30112 (2009)."
Ghannoum 2005,15665246,"Ghannoum, O. et al. Faster Rubisco is the key to superior nitrogen-use efficiency in NADP-malic enzyme relative to NAD-malic enzyme C4 grasses. Plant Physiol 137, 638–650 (2005)."
Gibson 1977,10.1016/S0021-9258(19)75189-8,"Gibson, J. L. & Tabita, F. R. Different molecular forms of D-ribulose-1,5-bisphosphate carboxylase from Rhodopseudomonas sphaeroides. Journal of Biological Chemistry 252, 943–949 (1977)."
