identifier,genus,species,subspecies,kcat_dH,Kc_dH,Ko_dH,S_dH,form,taxonomy,group,note,short_ref
weissflogii_young_unpublished_dH,Thalassiosira,weissflogii,,54.0507,,,,1D,Diatoms,Algae,,Young unpublished
oceanica_young_unpublished_dH,Thalassiosira,oceanica,,57.6962,,,,1D,Diatoms,Algae,,Young unpublished
cylindrus_young_unpublished_dH,Fragilariopsis,cylindrus,,38.325,,,,1D,Diatoms,Algae,,Young unpublished
kodakariensis_galmés_2015_dH,Thermococcus,kodakariensis,,37.1,,,,3,Archaea,Archaea,From Ezaki et al. 1999,Galmés 2015
tepidum_galmés_2015_dH,Thermochromatium,tepidum,,44,,,,1A,Gammaproteobacteria,Bacteria,From Heda & Madigan 1988,Galmés 2015
vinosum_galmés_2015_dH,Allochromatium,vinosum,,57.9,,,,1A,Gammaproteobacteria,Bacteria,From Heda & Madigan 1988,Galmés 2015
endosymbiont_galmés_2015_dH,Thiobacillus,endosymbiont,,39.7,,,,1A,Gammaproteobacteria,Bacteria,From Stein and Felbeck 1993,Galmés 2015
thyasirae_galmés_2015_dH,Thiomicrospira,thyasirae,,42,,,,1Ac,Gammaproteobacteria,Bacteria,"From Cook et al. 1991; T. thyasirae may have form 1Ac and form 2, since its closest relative does",Galmés 2015
caldarium_galmés_2015_dH,Cyanidium,caldarium,,76.3,,,,1D,Red algae,Algae,From Ford 1979,Galmés 2015
variabilis_galmés_2015_dH,Anabaena,variabilis,,57.3,,,,1Bc,Cyanobacteria,Bacteria,From Badger 1980,Galmés 2015
lividus_galmés_2015_dH,Parathermosynechococcus,lividus,,35.2,,,,1Bc,Cyanobacteria,Bacteria,From Sheridan & Ulik 1976,Galmés 2015
synechococcus_galmés_2015_dH,Synechococcus,strain a-1,,27.8,,,,1Bc,Cyanobacteria,Bacteria,From Yaguchi et al. 1992; probably related to Thermosynechococcus,Galmés 2015
reinhardtii_galmés_2015_dH,Chlamydomonas,reinhardtii,,24.4,,,,1B,Green algae,Algae,From Devos et al. 1998,Galmés 2015
emersonii_galmés_2015_dH,Chlorella,emersonii,,29,,,,1B,Green algae,Algae,From Ford 1979,Galmés 2015
chloromonas_ANT1_galmés_2015_dH,Chloromonas,strain ANT1,,26.4,,,,1B,Green algae,Algae,From Devos et al. 1998,Galmés 2015
chloromonas_ANT3_galmés_2015_dH,Chloromonas,strain ANT3,,26.9,,,,1B,Green algae,Algae,From Devos et al. 1998,Galmés 2015
alpinus_galmés_2015_dH,Alopecurus,alpinus,,62.5,,,,1B,C3 plants,Plants,From Tieszen & Sigurdson 1973,Galmés 2015
